"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HRWKD","TOT","HR_WKD","A","1985",1876,
"AUS","HRWKD","TOT","HR_WKD","A","1986",1877,
"AUS","HRWKD","TOT","HR_WKD","A","1987",1889,
"AUS","HRWKD","TOT","HR_WKD","A","1988",1885,
"AUS","HRWKD","TOT","HR_WKD","A","1989",1875,
"AUS","HRWKD","TOT","HR_WKD","A","1990",1853,
"AUS","HRWKD","TOT","HR_WKD","A","1991",1854.03811915011,
"AUS","HRWKD","TOT","HR_WKD","A","1992",1845.6043379902,
"AUS","HRWKD","TOT","HR_WKD","A","1993",1855.74418600485,
"AUS","HRWKD","TOT","HR_WKD","A","1994",1874.22702595268,
"AUS","HRWKD","TOT","HR_WKD","A","1995",1870.3078803203,
"AUS","HRWKD","TOT","HR_WKD","A","1996",1861.51681141638,
"AUS","HRWKD","TOT","HR_WKD","A","1997",1860.84842865841,
"AUS","HRWKD","TOT","HR_WKD","A","1998",1849.88192272734,
"AUS","HRWKD","TOT","HR_WKD","A","1999",1856.07991967208,
"AUS","HRWKD","TOT","HR_WKD","A","2000",1852.16221330258,
"AUS","HRWKD","TOT","HR_WKD","A","2001",1828.68534985625,
"AUS","HRWKD","TOT","HR_WKD","A","2002",1817.95614415663,
"AUS","HRWKD","TOT","HR_WKD","A","2003",1806.50344082021,
"AUS","HRWKD","TOT","HR_WKD","A","2004",1811.39604830845,
"AUS","HRWKD","TOT","HR_WKD","A","2005",1807.90422039924,
"AUS","HRWKD","TOT","HR_WKD","A","2006",1802.43110605435,
"AUS","HRWKD","TOT","HR_WKD","A","2007",1803.09856548217,
"AUS","HRWKD","TOT","HR_WKD","A","2008",1799.05290058731,
"AUS","HRWKD","TOT","HR_WKD","A","2009",1766.65426717138,
"AUS","HRWKD","TOT","HR_WKD","A","2010",1777.57063811043,
"AUS","HRWKD","TOT","HR_WKD","A","2011",1773.8951196348,
"AUS","HRWKD","TOT","HR_WKD","A","2012",1770.77504879768,
"AUS","HRWKD","TOT","HR_WKD","A","2013",1766.00918545794,
"AUS","HRWKD","TOT","HR_WKD","A","2014",1755.13274869288,
"AUS","HRWKD","TOT","HR_WKD","A","2015",1751.30537336357,
"AUS","HRWKD","TOT","HR_WKD","A","2016",1738.71539952934,
"AUS","HRWKD","TOT","HR_WKD","A","2017",1738.4942536067,
"AUS","HRWKD","TOT","HR_WKD","A","2018",1732.53874302482,
"AUS","HRWKD","TOT","HR_WKD","A","2019",1722.31334232542,
"AUS","HRWKD","TOT","HR_WKD","A","2020",1683.11193199766,
"AUS","HRWKD","TOT","HR_WKD","A","2021",1694.12905338561,
"AUT","HRWKD","TOT","HR_WKD","A","1995",1653,
"AUT","HRWKD","TOT","HR_WKD","A","1996",1683,
"AUT","HRWKD","TOT","HR_WKD","A","1997",1691,
"AUT","HRWKD","TOT","HR_WKD","A","1998",1671,
"AUT","HRWKD","TOT","HR_WKD","A","1999",1675,
"AUT","HRWKD","TOT","HR_WKD","A","2000",1675,
"AUT","HRWKD","TOT","HR_WKD","A","2001",1663,
"AUT","HRWKD","TOT","HR_WKD","A","2002",1661,
"AUT","HRWKD","TOT","HR_WKD","A","2003",1652,
"AUT","HRWKD","TOT","HR_WKD","A","2004",1655,
"AUT","HRWKD","TOT","HR_WKD","A","2005",1632,
"AUT","HRWKD","TOT","HR_WKD","A","2006",1617,
"AUT","HRWKD","TOT","HR_WKD","A","2007",1606,
"AUT","HRWKD","TOT","HR_WKD","A","2008",1599,
"AUT","HRWKD","TOT","HR_WKD","A","2009",1558,
"AUT","HRWKD","TOT","HR_WKD","A","2010",1552,
"AUT","HRWKD","TOT","HR_WKD","A","2011",1557,
"AUT","HRWKD","TOT","HR_WKD","A","2012",1535,
"AUT","HRWKD","TOT","HR_WKD","A","2013",1520,
"AUT","HRWKD","TOT","HR_WKD","A","2014",1510,
"AUT","HRWKD","TOT","HR_WKD","A","2015",1495,
"AUT","HRWKD","TOT","HR_WKD","A","2016",1507,
"AUT","HRWKD","TOT","HR_WKD","A","2017",1498,
"AUT","HRWKD","TOT","HR_WKD","A","2018",1502,
"AUT","HRWKD","TOT","HR_WKD","A","2019",1508.64347667649,
"AUT","HRWKD","TOT","HR_WKD","A","2020",1400.69358244345,
"AUT","HRWKD","TOT","HR_WKD","A","2021",1442.45375748537,
"BEL","HRWKD","TOT","HR_WKD","A","1970",1883.2,
"BEL","HRWKD","TOT","HR_WKD","A","1971",1873.4,
"BEL","HRWKD","TOT","HR_WKD","A","1972",1847.5,
"BEL","HRWKD","TOT","HR_WKD","A","1973",1820.1,
"BEL","HRWKD","TOT","HR_WKD","A","1974",1791.9,
"BEL","HRWKD","TOT","HR_WKD","A","1975",1782.7,
"BEL","HRWKD","TOT","HR_WKD","A","1976",1785.5,
"BEL","HRWKD","TOT","HR_WKD","A","1977",1759.8,
"BEL","HRWKD","TOT","HR_WKD","A","1978",1743,
"BEL","HRWKD","TOT","HR_WKD","A","1979",1726.6,
"BEL","HRWKD","TOT","HR_WKD","A","1980",1706.5,
"BEL","HRWKD","TOT","HR_WKD","A","1981",1683.4,
"BEL","HRWKD","TOT","HR_WKD","A","1982",1669,
"BEL","HRWKD","TOT","HR_WKD","A","1983",1674.9,
"BEL","HRWKD","TOT","HR_WKD","A","1984",1699,
"BEL","HRWKD","TOT","HR_WKD","A","1985",1705,
"BEL","HRWKD","TOT","HR_WKD","A","1986",1685,
"BEL","HRWKD","TOT","HR_WKD","A","1987",1669.9,
"BEL","HRWKD","TOT","HR_WKD","A","1988",1657.9,
"BEL","HRWKD","TOT","HR_WKD","A","1989",1648.9,
"BEL","HRWKD","TOT","HR_WKD","A","1990",1662.9,
"BEL","HRWKD","TOT","HR_WKD","A","1991",1625.8,
"BEL","HRWKD","TOT","HR_WKD","A","1992",1602.7,
"BEL","HRWKD","TOT","HR_WKD","A","1993",1558.6,
"BEL","HRWKD","TOT","HR_WKD","A","1994",1558.6,
"BEL","HRWKD","TOT","HR_WKD","A","1995",1578,
"BEL","HRWKD","TOT","HR_WKD","A","1996",1575,
"BEL","HRWKD","TOT","HR_WKD","A","1997",1582,
"BEL","HRWKD","TOT","HR_WKD","A","1998",1574,
"BEL","HRWKD","TOT","HR_WKD","A","1999",1575,
"BEL","HRWKD","TOT","HR_WKD","A","2000",1589,
"BEL","HRWKD","TOT","HR_WKD","A","2001",1581,
"BEL","HRWKD","TOT","HR_WKD","A","2002",1594,
"BEL","HRWKD","TOT","HR_WKD","A","2003",1598,
"BEL","HRWKD","TOT","HR_WKD","A","2004",1588,
"BEL","HRWKD","TOT","HR_WKD","A","2005",1578,
"BEL","HRWKD","TOT","HR_WKD","A","2006",1592,
"BEL","HRWKD","TOT","HR_WKD","A","2007",1594,
"BEL","HRWKD","TOT","HR_WKD","A","2008",1582,
"BEL","HRWKD","TOT","HR_WKD","A","2009",1563,
"BEL","HRWKD","TOT","HR_WKD","A","2010",1574,
"BEL","HRWKD","TOT","HR_WKD","A","2011",1590,
"BEL","HRWKD","TOT","HR_WKD","A","2012",1587,
"BEL","HRWKD","TOT","HR_WKD","A","2013",1586,
"BEL","HRWKD","TOT","HR_WKD","A","2014",1582,
"BEL","HRWKD","TOT","HR_WKD","A","2015",1575,
"BEL","HRWKD","TOT","HR_WKD","A","2016",1574,
"BEL","HRWKD","TOT","HR_WKD","A","2017",1578,
"BEL","HRWKD","TOT","HR_WKD","A","2018",1580,
"BEL","HRWKD","TOT","HR_WKD","A","2019",1577,
"BEL","HRWKD","TOT","HR_WKD","A","2020",1443,
"BEL","HRWKD","TOT","HR_WKD","A","2021",1493.12638580931,
"CAN","HRWKD","TOT","HR_WKD","A","1961",2059,
"CAN","HRWKD","TOT","HR_WKD","A","1962",2058,
"CAN","HRWKD","TOT","HR_WKD","A","1963",2041,
"CAN","HRWKD","TOT","HR_WKD","A","1964",2033,
"CAN","HRWKD","TOT","HR_WKD","A","1965",2016,
"CAN","HRWKD","TOT","HR_WKD","A","1966",2001,
"CAN","HRWKD","TOT","HR_WKD","A","1967",1993,
"CAN","HRWKD","TOT","HR_WKD","A","1968",1958,
"CAN","HRWKD","TOT","HR_WKD","A","1969",1943,
"CAN","HRWKD","TOT","HR_WKD","A","1970",1925,
"CAN","HRWKD","TOT","HR_WKD","A","1971",1912,
"CAN","HRWKD","TOT","HR_WKD","A","1972",1904,
"CAN","HRWKD","TOT","HR_WKD","A","1973",1898,
